author et al. (YEAR)_CHARACTER,paper title_CHARACTER,type of study_CHOICE,study duration_CHOICE,time point_CHOICE,year(s)_STARTYEAR_DASH_ENDYEAR,region_CHARACTER,individual parameter name_CHARACTER,parameter value origin_CHARACTER,parameter unit_CHARACTER,sample size_NUMERIC,life-stage_CHOICE,parameter value_NUMERIC,significance_CHOICE,R_squared_NUMERIC,StandardDeviation_NUMERIC,"applicable to other sub-mechanisms (egg & larval development, build-up of body reserves, overwintering)",comments_CHARACTER,AB_applicable mechanism,"AB_information category (corr, parameter)",DB_applicable mechanism,"DB_information category (corr, parameter)",
"cuzin-roudy, j","seasonal reproduction, multiple spawning, and fecundity in northern krill, meganyctiphanes norvegica, and antarctic krill, euphausia superba",observation,years,summer,1985-1992,"ScotiaSea, Prydz Bay, Atlantic Peninsula",slopeLogNumberMatureOocytesLogWetWeightOvaries,logloglinear regression,,32,adult,0.8,TRUE,0.697,0.09,,"for individuals >70mg, estimated with ordinaly least square regression, standard error NOT standard deviation",,,ID34,"parameter, validation",
"cuzin-roudy, j","seasonal reproduction, multiple spawning, and fecundity in northern krill, meganyctiphanes norvegica, and antarctic krill, euphausia superba",observation,years,summer,1985-1992,"ScotiaSea, Prydz Bay, Atlantic Peninsula",slopeLogNumberMatureOocytesLogWetWeightOvaries,logloglinear regression,,32,adult,0.9,NA,NA,NA,,"for individuals >70mg, estimated with reduced major axis",,,ID34,"parameter, validation",
"kawaguchi, s",reproduction and larval development in antarctic krill (euphausia superba),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,book chapter which discusses published data,,,-,-,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-15m, day",1000m-3,,juvenile,3.3,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-15m, night",1000m-3,,juvenile,7,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-200m, day",1000m-3,,juvenile,31,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-200m, night",1000m-3,,juvenile,52,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-15m, day",1000m-3,,adults,4.4,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-15m, night",1000m-3,,adults,74,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-200m, day",1000m-3,,adults,28,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Abundance,"0-200m, night",1000m-3,,adults,70,,,,,"Average across Drake, Bransfield and Gerlache in Jan, Feb and Mar",,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Maturing,Dec,%,,adults,70,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Gravid,Dec,%,,adults,20,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Spent,Dec,%,,adults,10,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Post spent,Dec,%,,adults,0,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Maturing,Jan,%,,adults,0,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Gravid,Jan,%,,adults,90,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Spent,Jan,%,,adults,10,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Post spent,Jan,%,,adults,0,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Maturing,Feb,%,,adults,0,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Gravid,Feb,%,,adults,0,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Spent,Feb,%,,adults,55,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Post spent,Feb,%,,adults,45,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Maturing,Feb,%,,adults,0,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Gravid,Feb,%,,adults,0,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Spent,Feb,%,,adults,50,,,,,Fig. 6,,,-,validation,
"Brinton, 1991",Distribution and population structures of immature and adult Euphausia superba in the western Bransfield Strait region during the 1986-87 summer,observation,months,summer,1987,WAP,Post spent,Feb,%,,adults,50,,,,,Fig. 6,,,-,validation,
Ettershank (1983),"Age Structure and Cyclical Annual Size Change in the Antarctic Krill, Euphausia superba Dana",observation,months,summer,1981,Prydz Bay,NA,NA,NA,NA,,NA,NA,NA,NA,build up of body reserves,Author uses lipofuscin to determine age structure of the population and to show age classes regress in size following spawning,,,-,validation,
Nicol (1989),apparent independence of the spawning and moulting cycles in female antarctic krill (euphausia superba dana),observation,days,summer,1988,Prydz Bay,Mean brood size,Lab measurement,NA,60,adult,1495.9,NA,NA,NA,,This study found no significant relationship between the timing of spawning and the timing of moulting. Detailed records of brood sizes in Table 1. ,,,ID34,"parameter, validation",
Nicol (1989),apparent independence of the spawning and moulting cycles in female antarctic krill (euphausia superba dana),observation,days,summer,1988,Prydz Bay,coefficient,linear regression: number of eggs spawned~uropod length,NA,59,adult,652.0089,NA,0.34,NA,,,,,ID34,"parameter, validation",
Nicol (1989),apparent independence of the spawning and moulting cycles in female antarctic krill (euphausia superba dana),observation,days,summer,1988,Prydz Bay,intercept,linear regression: number of eggs spawned~uropod length,NA,59,adult,-2671.305,NA,0.34,NA,,,,,ID34,"parameter, validation",
Chapman et al. (2010),the effects of variability in antarctic krill (euphausia superba) spawning behavior and sex/maturity stage distribution on adelie penguin (pygoscelis adeliae) chick growth: a modeling study,model,months,summer,NA,Bellingshausen Sea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,This study shows that the timing of krill spawning has major implications for the growth and survival of Adelie penguin chicks,,,-,-,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1996,Lutzow-Holm Bay,% composition of sub-adult females,Adelie penguin stomach samples,%,NA,adult,2.2,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1996,Lutzow-Holm Bay,% composition of adult females without spermatophores,Adelie penguin stomach samples,%,NA,adult,22.4,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1996,Lutzow-Holm Bay,% composition of adult females with spermatophores,Adelie penguin stomach samples,%,NA,adult,71.4,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1996,Lutzow-Holm Bay,% composition of sub-adult males,Adelie penguin stomach samples,%,NA,adult,0,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1996,Lutzow-Holm Bay,% composition of adult males,Adelie penguin stomach samples,%,NA,adult,4,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1997,Lutzow-Holm Bay,% composition of sub-adult females,total krill composition in Adelie penguin stomach samples,%,NA,adult,11.2,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1997,Lutzow-Holm Bay,% composition of adult females without spermatophores,total krill composition in Adelie penguin stomach samples,%,NA,adult,20,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1997,Lutzow-Holm Bay,% composition of adult females with spermatophores,total krill composition in Adelie penguin stomach samples,%,NA,adult,66,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1997,Lutzow-Holm Bay,% composition of sub-adult males,total krill composition in Adelie penguin stomach samples,%,NA,adult,0.9,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1997,Lutzow-Holm Bay,% composition of adult males,total krill composition in Adelie penguin stomach samples,%,NA,adult,1.9,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1998,Lutzow-Holm Bay,% composition of sub-adult females,total krill composition in Adelie penguin stomach samples,%,NA,adult,5.6,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1998,Lutzow-Holm Bay,% composition of adult females without spermatophores,total krill composition in Adelie penguin stomach samples,%,NA,adult,28,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1998,Lutzow-Holm Bay,% composition of adult females with spermatophores,total krill composition in Adelie penguin stomach samples,%,NA,adult,54.6,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1998,Lutzow-Holm Bay,% composition of sub-adult males,total krill composition in Adelie penguin stomach samples,%,NA,adult,0.2,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Endo et al. (2002),"biological characteristics of euphausiids preyed upon by adelie penguins in relation to sea-ice conditions in lutzow-holm bay, antarctica",observation,months,summer,1998,Lutzow-Holm Bay,% composition of adult males,total krill composition in Adelie penguin stomach samples,%,NA,adult,11.6,NA,NA,NA,"egg & larval development, build up of body reserves",Summarised from Table 2. Age structure of krill estimated through Adelie penguin stomach samples,,,-,validation,
Green et al. (2021),modeling antarctic krill circumpolar spawning habitat quality to identify regions with potential to support high larval production,hybrid,years,summer,1976-2016,South-West Atlantic,Threshold value,sigmoid function: thermal suitability ~ sst,NA,NA,larvae,3.03,NA,NA,1.19,,"SE not SD, parameter optimisation using MLE, spawning habitat defined as multiple of these three functions",,,ID104,parameter,
Green et al. (2021),modeling antarctic krill circumpolar spawning habitat quality to identify regions with potential to support high larval production,hybrid,years,summer,1976-2016,South-West Atlantic,Slope coefficient,sigmoid function: thermal suitability ~ sst,NA,NA,larvae,2.2,NA,NA,3.9,,"SE not SD, parameter optimisation using MLE, spawning habitat defined as multiple of these three functions",,,ID104,parameter,
Green et al. (2021),modeling antarctic krill circumpolar spawning habitat quality to identify regions with potential to support high larval production,hybrid,years,summer,1976-2016,South-West Atlantic,Encounter rate (slope coefficient),Holling type III functional response: food suitability ~ npp,NA,NA,larvae,196.3,NA,NA,380.96,,"SE not SD, parameter optimisation using MLE, spawning habitat defined as multiple of these three functions",,,-,-,
Green et al. (2021),modeling antarctic krill circumpolar spawning habitat quality to identify regions with potential to support high larval production,hybrid,years,summer,1976-2016,South-West Atlantic,mean,lognormal function: predator suitability ~ micronekton,NA,NA,larvae,4.59,NA,NA,18.27,,"SE not SD, parameter optimisation using MLE, spawning habitat defined as multiple of these three functions",,,ID103,parameter,
Green et al. (2021),modeling antarctic krill circumpolar spawning habitat quality to identify regions with potential to support high larval production,hybrid,years,summer,1976-2016,South-West Atlantic,standard deviation,lognormal function: predator suitability ~ micronekton,NA,NA,larvae,2.16,NA,NA,5.64,,"SE not SD, parameter optimisation using MLE, spawning habitat defined as multiple of these three functions",,,ID103,parameter,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,summer,1980-2003,South Sandwich Islands,Krill diurnal depth range December,trawl diurnal vertical depth range,m,NA,adult,22.1,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,summer,1980-2003,South Sandwich Islands,Krill diurnal depth range January,trawl diurnal vertical depth range,m,NA,adult,23.5,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,summer,1980-2003,South Sandwich Islands,Krill diurnal depth range February,trawl diurnal vertical depth range,m,NA,adult,21.2,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,autumn,1980-2003,South Sandwich Islands,Krill diurnal depth range March,trawl diurnal vertical depth range,m,NA,adult,14.8,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,autumn,1980-2003,South Sandwich Islands,Krill diurnal depth range April,trawl diurnal vertical depth range,m,NA,adult,20.4,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,autumn,1980-2003,South Sandwich Islands,Krill diurnal depth range May,trawl diurnal vertical depth range,m,NA,adult,6.3,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,winter,1980-2003,South Sandwich Islands,Krill diurnal depth range June,trawl diurnal vertical depth range,m,NA,adult,16.4,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,summer,1980-2003,South Orkney Islands,Krill diurnal depth range December,trawl diurnal vertical depth range,m,NA,adult,24.5,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,summer,1980-2003,South Orkney Islands,Krill diurnal depth range January,trawl diurnal vertical depth range,m,NA,adult,14.9,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,summer,1980-2003,South Orkney Islands,Krill diurnal depth range February,trawl diurnal vertical depth range,m,NA,adult,74.9,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,autumn,1980-2003,South Orkney Islands,Krill diurnal depth range March,trawl diurnal vertical depth range,m,NA,adult,31.7,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,autumn,1980-2003,South Orkney Islands,Krill diurnal depth range April,trawl diurnal vertical depth range,m,NA,adult,37.1,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,autumn,1980-2003,South Orkney Islands,Krill diurnal depth range May,trawl diurnal vertical depth range,m,NA,adult,29.8,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,winter,1980-2003,South Orkney Islands,Krill diurnal depth range June,trawl diurnal vertical depth range,m,NA,adult,42.6,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,winter,1980-2003,South Orkney Islands,Krill diurnal depth range July,trawl diurnal vertical depth range,m,NA,adult,83.3,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,winter,1980-2003,South Georgia,Krill diurnal depth range June,trawl diurnal vertical depth range,m,NA,adult,33.1,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,winter,1980-2003,South Georgia,Krill diurnal depth range July,trawl diurnal vertical depth range,m,NA,adult,24.5,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,winter,1980-2003,South Georgia,Krill diurnal depth range August,trawl diurnal vertical depth range,m,NA,adult,35.5,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Taki et al. (2005),"characteristics of seasonal variation in diurnal vertical migration and aggregation of antarctic krill (euphausia superba) in the scotia sea, using japanese fishery data",observation,years,winter,1980-2003,South Georgia,Krill diurnal depth range September,trawl diurnal vertical depth range,m,NA,adult,31.8,NA,NA,NA,overwintering,Study found that trawl depth increased to a maximum in winter; feeding index decreased from a high in summer to a low in autumn and winter,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,krill density,FIBEX horizontal trawl (60-75 m),no.1000m^-3,37,adult,37.77,NA,NA,91.77,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,krill density,FIBEX aimed trawl,no.1000m^-3,21,adult,117.06,NA,NA,239.89,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1982,Prydz Bay,krill density,ADBEX horizontal trawl (12-55 and 75-90m),no.1000m^-3,60,adult,208.58,NA,NA,665.06,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1984,Prydz Bay,krill density,ADBEX II aimed and horizontal trawl,no.1000m^-3,10,adult,346.06,NA,NA,554.82,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,krill density,SIBEX II Oblique trawl (0-200m),no.1000m^-3,51,adult,5.94,NA,NA,23.01,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,krill density,SIBEX II Oblique trawl (0-1000m),no.1000m^-3,19,adult,0.37,NA,NA,0.69,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,krill density,SIBEX II Aimed trawl,no.1000m^-3,4,adult,190.9,NA,NA,108.82,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,krill biomass,FIBEX horizontal trawl (60-75 m),g.1000m^-3,37,adult,21.18,NA,NA,40.96,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,krill biomass,FIBEX aimed trawl,g.1000m^-3,21,adult,77.05,NA,NA,122.31,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1982,Prydz Bay,krill biomass,ADBEX horizontal trawl (12-55 and 75-90m),g.1000m^-3,60,adult,96,NA,NA,301.45,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1984,Prydz Bay,krill biomass,ADBEX II aimed and horizontal trawl,g.1000m^-3,10,adult,70.27,NA,NA,243.71,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,krill biomass,SIBEX II Oblique trawl (0-200m),g.1000m^-3,51,adult,2.03,NA,NA,6.61,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,krill biomass,SIBEX II Oblique trawl (0-1000m),g.1000m^-3,19,adult,0.2,NA,NA,0.36,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1985,Prydz Bay,krill biomass,SIBEX II Aimed trawl,g.1000m^-3,4,adult,170.18,NA,NA,11.22,build up of body reserves,,,,-,validation,
Hosie et al. (1988),"distribution, abundance and population structure of the antarctic krill (euphausia superba dana) in the prydz bay region, antarctica",observation,months,summer,1981,Prydz Bay,mean body length age 0,FIBEX regular trawl,mm,NA,juvenile,7.35,NA,NA,NA,,,,,-,validation,
